edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
access_1,access_1,port_1,road_774,intermodal,road_access,0.1025,30,0.003417,2,7.995e-05,bin qasim port→road
access_3,access_3,port_3,road_11520,intermodal,road_access,0.1358,30,0.004527,2,7.995e-05,karachi→road
access_4,access_4,dryport_1,road_19233,intermodal,road_access,0.439,30,0.014633,2,7.995e-05,faisalabad dryport→road
access_13,access_13,dryport_1,station_6,intermodal,rail_access,0.4031,30,0.013437,2,0.0001599,faisalabad dryport→rail
access_5,access_5,dryport_2,road_983,intermodal,road_access,0.474,30,0.0158,2,7.995e-05,gilgit dryport→road
access_6,access_6,dryport_3,road_2854,intermodal,road_access,0.0747,30,0.00249,2,0.0003198,islamabad dryport→road
access_14,access_14,dryport_3,station_9,intermodal,rail_access,0.0067,30,0.000333,2,0.00039974,islamabad dryport→rail
access_7,access_7,dryport_4,road_848,intermodal,road_access,0.1033,30,0.003443,2,0.00155309,karachi dryport→road
access_15,access_15,dryport_4,station_11,intermodal,rail_access,0.1115,30,0.003717,2,0.00147346,karachi dryport→rail
access_8,access_8,dryport_5,road_137,intermodal,road_access,0.4558,30,0.015193,2,7.995e-05,lahore dryport→road
access_9,access_9,dryport_6,road_8555,intermodal,road_access,0.0629,30,0.002097,2,0.02691382,peshawar dryport→road
access_16,access_16,dryport_6,station_22,intermodal,rail_access,0.0467,30,0.001557,2,0.02686073,rawalpindi dryport→rail
access_10,access_10,dryport_7,road_4454,intermodal,road_access,0.2873,30,0.009577,2,0.00071954,raiwind dryport→road
access_17,access_17,dryport_7,station_16,intermodal,rail_access,0.2015,30,0.006717,2,0.00079949,raiwind dryport→rail
access_11,access_11,dryport_8,road_4170,intermodal,road_access,0.051,30,0.0017,2,0.02795043,sialkot dryport→road
access_18,access_18,dryport_8,station_27,intermodal,rail_access,0.0868,30,0.002893,2,0.02671138,sialkot dryport→rail
access_12,access_12,dryport_9,road_2337,intermodal,road_access,0.1196,30,0.003987,2,7.995e-05,multan dryport→road
rail_7,rail_7,station_1,station_12,rail,ML1,89.693,80,1.121163,5,0.0001599,ML1
rail_32,rail_32,station_1,station_25,rail,Connecting,227.9998,80,2.849997,3,7.995e-05,Connecting
rail_34,rail_34,station_1,station_16,rail,Connecting,342.1845,80,4.277306,3,0.0,Connecting
rail_1,rail_1,station_3,station_15,rail,ML1,165.5594,80,2.069492,5,0.0013142,ML1
rail_35,rail_35,station_3,station_11,rail,ML1,5.5704,80,0.06963,5,0.00139383,ML1
rail_12,rail_12,station_4,station_14,rail,ML3,222.8969,80,2.786211,5,7.995e-05,ML3
rail_14,rail_14,station_4,station_23,rail,ML3,110.4299,80,1.380374,5,0.0001599,ML3
fallback_2,fallback_2,station_5,road_3439,intermodal,fallback_access,2.5766,30,0.085887,2,7.995e-05,Dera Gazi Khan Railway Station→nearest_road
rail_22,rail_22,station_6,station_7,rail,Connecting,108.5154,80,1.356442,3,0.0,Connecting
rail_23,rail_23,station_6,station_16,rail,Connecting,55.7597,80,0.696996,3,0.00012152,Connecting
rail_24,rail_24,station_6,station_12,rail,Connecting,150.9065,80,1.886331,3,0.00015462,Connecting
rail_27,rail_27,station_6,station_26,rail,Connecting,64.4284,80,0.805355,3,0.00020675,Connecting
rail_33,rail_33,station_7,station_16,rail,Connecting,26.2482,80,0.328103,3,0.00075823,Connecting
rail_30,rail_30,station_7,station_26,rail,Connecting,93.9146,80,1.173932,3,0.00083786,Connecting
rail_15,rail_15,station_8,station_15,rail,ML3,100.3184,80,1.25398,5,0.0001599,ML3
rail_16,rail_16,station_8,station_30,rail,ML3,199.6863,80,2.496079,5,7.995e-05,ML3
rail_11,rail_11,station_9,station_19,rail,ML2,470.9481,80,5.886851,5,0.0,ML2
rail_36,rail_36,station_9,station_24,rail,ML1,11.4249,80,0.142811,5,0.00047969,ML1
rail_5,rail_5,station_10,station_29,rail,ML1,29.3812,80,0.367265,5,0.00194116,ML1
rail_10,rail_10,station_10,station_19,rail,ML2,429.2863,80,5.366079,5,0.00197474,ML2
rail_18,rail_18,station_12,station_19,rail,Connecting,71.1129,80,0.888911,3,0.00202462,Connecting
rail_19,rail_19,station_12,station_16,rail,Connecting,280.6384,80,3.50798,3,0.0,Connecting
rail_25,rail_25,station_12,station_26,rail,Connecting,145.2555,80,1.815694,3,0.00203022,Connecting
rail_13,rail_13,station_14,station_23,rail,ML3,543.0792,80,6.78849,5,0.0,ML3
rail_2,rail_2,station_15,station_18,rail,ML1,60.4473,80,0.755591,5,0.00118852,ML1
rail_8,rail_8,station_15,station_29,rail,ML2,379.4914,80,4.743642,5,0.0,ML2
rail_3,rail_3,station_18,station_20,rail,ML1,20.6659,80,0.258324,5,0.0011623,ML1
rail_4,rail_4,station_20,station_29,rail,ML1,217.1767,80,2.714709,5,0.00115142,ML1
fallback_5,fallback_5,station_21,road_11313,intermodal,fallback_access,0.5676,30,0.01892,2,7.995e-05,Railway Yard Karachi→nearest_road
rail_6,rail_6,station_22,station_29,rail,ML1,1234.2754,80,15.428442,5,0.0,ML1
rail_28,rail_28,station_22,station_26,rail,Connecting,84.7872,80,1.05984,3,0.02643604,Connecting
rail_31,rail_31,station_22,station_24,rail,Connecting,60.4412,80,0.755515,3,0.00055964,Connecting
rail_17,rail_17,station_23,station_28,rail,ML3,118.4584,80,1.48073,5,0.00023985,ML3
rail_29,rail_29,station_26,station_27,rail,Connecting,146.3402,80,1.829253,3,0.02666278,Connecting
rail_9,rail_9,station_28,station_29,rail,ML2,208.9965,80,2.612456,5,0.00231868,ML2
road_1,road_1,road_1,road_2,road,Primary,0.8392,80,0.01049,4,0.0,ناظم الدین روڈ
road_12174,road_12174,road_1,road_265,road,Primary,1.1898,80,0.014873,4,7.995e-05,ناظم الدین روڈ
road_22645,road_22645,road_2,road_17082,road,Primary,0.3567,80,0.004459,4,7.995e-05,ناظم الدین روڈ
road_152,road_152,road_3,road_6,road,Trunk,0.068,100,0.00068,5,0.01403854,مری روڈ
road_64,road_64,road_3,road_94,road,Trunk,3.8575,100,0.038575,5,0.00030237,Islamabad Expressway
road_153,road_153,road_3,road_15,road,Trunk,0.2681,100,0.002681,5,0.00079149,مری روڈ
road_173,road_173,road_3,road_267,road,Trunk,3.7173,100,0.037173,5,9.59e-06,Islamabad Expressway
road_174,road_174,road_3,road_268,road,Trunk,2.8369,100,0.028369,5,0.00023793,Islamabad Expressway
road_177,road_177,road_3,road_19,road,Trunk,4.8066,100,0.048066,5,0.01319092,Islamabad Expressway
road_3,road_3,road_4,road_5,road,Trunk,1.5956,100,0.015956,5,0.00365702,Islamabad Expressway
road_160,road_160,road_4,road_18,road,Trunk,0.0773,100,0.000773,5,0.01295491,Islamabad Expressway
road_22789,road_22789,road_4,road_270,road,Trunk,0.0915,100,0.000915,5,1.92e-06,Islamabad Expressway
road_22787,road_22787,road_4,road_363,road,Trunk,0.1146,100,0.001146,5,0.00906572,Islamabad Expressway
road_11033,road_11033,road_4,road_10658,road,Primary,0.1373,80,0.001716,4,7.995e-05,Old Airport Rd
road_11048,road_11048,road_4,road_10671,road,Primary,0.1175,80,0.001469,4,7.995e-05,Old Airport Rd
road_255,road_255,road_5,road_364,road,Trunk,0.1658,100,0.001658,5,0.00357739,Islamabad Expressway
road_155,road_155,road_6,road_245,road,Trunk,0.1405,100,0.001405,5,0.01395635,IJP Road
road_12290,road_12290,road_6,road_13,road,Primary,0.1868,80,0.002335,4,0.00015766,مری روڈ
road_5,road_5,road_7,road_8,road,Trunk,0.1668,100,0.001668,5,7.995e-05,nan
road_7,road_7,road_7,road_11,road,Trunk,0.5361,100,0.005361,5,7.771e-05,nan
road_20,road_20,road_7,road_13,road,Trunk,0.1069,100,0.001069,5,0.00024161,nan
road_315,road_315,road_7,road_245,road,Primary,0.1752,80,0.00219,4,3.2e-07,nan
road_414,road_414,road_7,road_567,road,Trunk,1.4179,100,0.014179,5,0.00085913,IJP Road
road_12289,road_12289,road_7,road_314,road,Primary,0.0909,80,0.001136,4,0.0003991,nan
road_6,road_6,road_9,road_10,road,Primary,0.7439,80,0.009299,4,0.00606236,خیابان اقبال
road_179,road_179,road_9,road_272,road,Primary,1.771,80,0.022137,4,6.4e-07,شارع دستور
road_2243,road_2243,road_9,road_308,road,Primary,1.7858,80,0.022323,4,0.00614103,شارع دستور
road_17412,road_17412,road_9,road_276,road,Primary,3.0316,80,0.037895,4,0.0,خیابان اقبال
road_8943,road_8943,road_10,road_1884,road,Primary,1.4896,80,0.01862,4,0.00598305,خیابان اقبال
road_213,road_213,road_11,road_15,road,Trunk,0.4262,100,0.004262,5,2.24e-06,nan
road_8,road_8,road_12,road_13,road,Trunk,0.5147,100,0.005147,5,7.995e-05,nan
road_9,road_9,road_13,road_14,road,Trunk,0.4592,100,0.004592,5,7.931e-05,nan
road_314,road_314,road_13,road_427,road,Primary,2.2063,80,0.027579,4,0.00014311,مری روڈ
road_10,road_10,road_14,road_15,road,Trunk,0.5954,100,0.005954,5,6.4e-07,nan
road_23534,road_23534,road_15,road_657,road,Trunk,1.0071,100,0.010071,5,0.0007125,مری روڈ
road_12,road_12,road_16,road_17,road,Primary,1.1958,80,0.014947,4,0.00207979,Multan Road
road_4328,road_4328,road_17,road_3339,road,Primary,2.5857,80,0.032321,4,0.01210697,Multan Road
road_8860,road_8860,road_17,road_5013,road,Primary,2.582,80,0.032275,4,0.01717557,Multan Road
road_8861,road_8861,road_17,road_221,road,Primary,1.0252,80,0.012815,4,0.03102143,Multan Road
road_14,road_14,road_18,road_19,road,Trunk,2.8024,100,0.028024,5,0.01303358,Islamabad Expressway
road_11049,road_11049,road_18,road_10671,road,Trunk,0.3276,100,0.003276,5,0.0,nan
road_22369,road_22369,road_18,road_270,road,Trunk,0.0714,100,0.000714,5,0.0,nan
road_7874,road_7874,road_19,road_8216,road,Trunk,0.384,100,0.00384,5,7.995e-05,nan
road_15,road_15,road_20,road_21,road,Primary,0.9384,80,0.01173,4,0.0001599,7th Avenue
road_22061,road_22061,road_20,road_2881,road,Primary,0.0366,80,0.000458,4,7.995e-05,7th Avenue
road_2213,road_2213,road_21,road_264,road,Primary,0.1057,80,0.001321,4,0.00223905,7th Avenue Underpass
road_16,road_16,road_22,road_23,road,Primary,1.341,80,0.016762,4,0.00047969,تونسہ بیراج روڈ
road_1802,road_1802,road_22,road_2426,road,Primary,1.3768,80,0.01721,4,0.00055964,تونسہ بیراج روڈ
road_1804,road_1804,road_23,road_2424,road,Primary,1.2524,80,0.015655,4,0.00039974,تونسہ بیراج روڈ
road_17,road_17,road_24,road_25,road,Trunk,5.263,100,0.05263,5,6.972e-05,گرینڈ ٹرنک روڈ
road_8037,road_8037,road_24,road_5489,road,Trunk,0.8719,100,0.008719,5,0.00012472,گرینڈ ٹرنک روڈ
road_4881,road_4881,road_25,road_109,road,Trunk,0.1793,100,0.001793,5,3.518e-05,گرینڈ ٹرنک روڈ
road_2238,road_2238,road_26,road_293,road,Trunk,0.1469,100,0.001469,5,9.6e-07,Khayaban-e-Suhrwardy
road_2239,road_2239,road_26,road_2897,road,Primary,0.0378,80,0.000472,4,0.0001599,nan
road_16865,road_16865,road_26,road_104,road,Trunk,1.9591,100,0.019591,5,0.00966821,سرینگر ہائی وے
road_26293,road_26293,road_26,road_2892,road,Trunk,0.5614,100,0.005614,5,0.01013543,سرینگر ہائی وے
road_26298,road_26298,road_26,road_13202,road,Primary,0.1581,80,0.001976,4,0.0001599,Khayaban-e-Suhrwardy
road_26300,road_26300,road_26,road_19004,road,Primary,0.0993,80,0.001241,4,7.995e-05,Islamabad Expressway
road_26302,road_26302,road_26,road_294,road,Primary,0.0648,80,0.00081,4,5.76e-06,Islamabad Expressway
road_26303,road_26303,road_26,road_105,road,Trunk,0.1985,100,0.001985,5,0.0,nan
road_19,road_19,road_27,road_28,road,Trunk,0.3222,100,0.003222,5,7.995e-05,nan
road_8990,road_8990,road_28,road_9185,road,Trunk,0.1694,100,0.001694,5,0.0001599,nan
road_21,road_21,road_29,road_30,road,Primary,1.3099,80,0.016374,4,0.00359754,مری روڈ
road_23467,road_23467,road_29,road_1303,road,Trunk,0.035,100,0.00035,5,7.755e-05,nan
road_23468,road_23468,road_29,road_17566,road,Trunk,0.0287,100,0.000287,5,0.00375024,nan
road_3759,road_3759,road_30,road_4428,road,Primary,1.2391,80,0.015489,4,0.0001599,Rashid Minhas Road (Mayo Road)
road_12213,road_12213,road_30,road_290,road,Primary,0.2379,80,0.002974,4,0.00329821,مری روڈ
road_13000,road_13000,road_30,road_11926,road,Primary,0.1144,80,0.00143,4,7.995e-05,nan
road_22,road_22,road_31,road_32,road,Primary,0.2193,80,0.002741,4,0.00254829,جناح ایونیو
road_22677,road_22677,road_31,road_17106,road,Primary,0.1765,80,0.002206,4,0.0001599,nan
road_26692,road_26692,road_31,road_19154,road,Primary,0.1298,80,0.001623,4,0.00223905,nan
road_26816,road_26816,road_31,road_19153,road,Primary,0.0979,80,0.001224,4,8.922e-05,جناح ایونیو
road_26290,road_26290,road_32,road_2828,road,Primary,1.2325,80,0.015406,4,0.00733531,جناح ایونیو
road_26689,road_26689,road_32,road_19155,road,Primary,0.1092,80,0.001365,4,0.00470771,جناح ایونیو
road_23,road_23,road_33,road_34,road,Motorway,2.3025,120,0.019188,5,0.0115622,ایم 1 موٹروے
road_13468,road_13468,road_33,road_91,road,Motorway,0.1724,120,0.001437,5,0.011622,ایم 1 موٹروے
road_209,road_209,road_34,road_311,road,Motorway,0.0862,120,0.000718,5,0.15280876,ایم 1 موٹروے
road_210,road_210,road_34,road_312,road,Motorway,2.3067,120,0.019223,5,0.1414434,ایم 1 موٹروے
road_211,road_211,road_34,road_313,road,Motorway,0.11,120,0.000917,5,0.00013703,ایم 1 موٹروے
road_24,road_24,road_35,road_36,road,Trunk,0.8991,100,0.008991,5,0.00012568,سرینگر ہائی وے
road_18693,road_18693,road_35,road_6763,road,Trunk,0.0383,100,0.000383,5,0.00020243,سرینگر ہائی وے
road_69,road_69,road_36,road_103,road,Trunk,1.5442,100,0.015442,5,5.053e-05,سرینگر ہائی وے
road_26,road_26,road_39,road_40,road,Trunk,0.7405,100,0.007405,5,0.09686057,Srinagar Highway
road_290,road_290,road_39,road_399,road,Trunk,0.0735,100,0.000735,5,0.10834682,Srinagar Highway
road_291,road_291,road_39,road_400,road,Trunk,0.5625,100,0.005625,5,0.01154669,Srinagar Highway
road_10005,road_10005,road_40,road_404,road,Motorway,0.4653,120,0.003877,5,0.09686201,nan
road_12885,road_12885,road_40,road_401,road,Trunk,0.1599,100,0.001599,5,5.9e-05,nan
road_29,road_29,road_44,road_45,road,Motorway,0.6738,120,0.005615,5,0.0,nan
road_875,road_875,road_44,road_1286,road,Motorway,0.2835,120,0.002362,5,0.00095939,nan
road_2701,road_2701,road_44,road_3323,road,Motorway,0.1671,120,0.001393,5,0.0031946,ایم 2 موٹروے
road_8849,road_8849,road_44,road_9058,road,Motorway,0.315,120,0.002625,5,0.00215942,nan
road_8854,road_8854,road_45,road_1286,road,Motorway,0.2936,120,0.002447,5,0.0,nan
road_13644,road_13644,road_45,road_3322,road,Motorway,0.053,120,0.000442,5,7.995e-05,ایم 2 موٹروے
road_2626,road_2626,road_46,road_47,road,Trunk,0.4867,100,0.004867,5,0.05449904,Ravi Road
road_24267,road_24267,road_46,road_18008,road,Trunk,0.5775,100,0.005775,5,0.05437128,Ravi Road
road_24268,road_24268,road_46,road_18009,road,Trunk,0.5968,100,0.005968,5,6.924e-05,Ravi Road
road_104,road_104,road_47,road_159,road,Trunk,0.4365,100,0.004365,5,0.00146514,Ravi Road
road_2643,road_2643,road_47,road_3277,road,Motorway,0.4214,120,0.003512,5,0.06031004,nan
road_13218,road_13218,road_47,road_3261,road,Trunk,0.5414,100,0.005414,5,0.04839575,Ravi Road
road_31,road_31,road_48,road_49,road,Motorway,0.6492,120,0.00541,5,7.995e-05,nan
road_13435,road_13435,road_49,road_8705,road,Motorway,0.0975,120,0.000813,5,0.06732955,nan
road_27351,road_27351,road_49,road_54,road,Motorway,0.1758,120,0.001465,5,0.06742741,ٹول پلازہ ایم 2 موٹروے
road_8468,road_8468,road_50,road_51,road,Primary,0.2094,80,0.002618,4,0.00039974,Yateem Khana Road
road_1171,road_1171,road_50,road_1662,road,Primary,1.5048,80,0.01881,4,0.0003198,Bund Road
road_2778,road_2778,road_50,road_3393,road,Primary,2.0376,80,0.02547,4,0.0,Bund Road
road_8466,road_8466,road_51,road_54,road,Motorway,0.2331,120,0.001942,5,0.00070883,ٹول پلازہ ایم 2 موٹروے
road_8467,road_8467,road_51,road_8705,road,Motorway,0.0686,120,0.000572,5,0.00013975,لاہور رنگ روڈ
road_12637,road_12637,road_51,road_11640,road,Motorway,0.2579,120,0.002149,5,0.00023985,nan
road_27347,road_27347,road_51,road_8704,road,Motorway,0.1884,120,0.00157,5,0.00012904,لاہور رنگ روڈ
road_33,road_33,road_52,road_53,road,Motorway,0.8277,120,0.006897,5,7.995e-05,nan
road_34,road_34,road_52,road_54,road,Motorway,0.0768,120,0.00064,5,6.204e-05,nan
road_36,road_36,road_52,road_55,road,Motorway,0.9773,120,0.008144,5,0.0,nan
road_2710,road_2710,road_52,road_3327,road,Motorway,3.3079,120,0.027566,5,0.00292853,ایم 2 موٹروے
road_7181,road_7181,road_52,road_58,road,Motorway,1.9612,120,0.016343,5,0.00305676,ایم 2 موٹروے
road_366,road_366,road_54,road_57,road,Motorway,1.9223,120,0.016019,5,0.06750815,ایم 2 موٹروے
road_7180,road_7180,road_54,road_3324,road,Motorway,3.3673,120,0.028061,5,0.00074384,ایم 2 موٹروے
road_27346,road_27346,road_55,road_19526,road,Motorway,0.202,120,0.001683,5,7.995e-05,nan
road_27349,road_27349,road_55,road_11640,road,Motorway,0.2714,120,0.002262,5,0.0001599,ٹول پلازہ ایم 2 موٹروے
road_37,road_37,road_56,road_57,road,Motorway,0.7132,120,0.005943,5,0.06755676,ایم 2 موٹروے
road_38,road_38,road_56,road_58,road,Motorway,0.7127,120,0.005939,5,0.00310537,ایم 2 موٹروے
road_27364,road_27364,road_56,road_59,road,Motorway,0.4226,120,0.003522,5,0.00916006,ٹول پلازہ ایم 2 موٹروے
road_27357,road_27357,road_56,road_11265,road,Motorway,0.5607,120,0.004672,5,0.06185353,ٹول پلازہ ایم 2 موٹروے
road_27359,road_27359,road_56,road_19528,road,Motorway,0.4377,120,0.003647,5,0.00039974,ٹول پلازہ ایم 2 موٹروے
road_27369,road_27369,road_59,road_3332,road,Motorway,2.7479,120,0.022899,5,0.00914886,ایم 2 موٹروے
road_40,road_40,road_60,road_61,road,Motorway,0.796,120,0.006633,5,7.995e-05,nan
road_2717,road_2717,road_61,road_65,road,Motorway,0.7,120,0.005833,5,0.0001599,nan
