node_id,asset_id,node_type,name,lon,lat,degree,betweenness_centrality,degree_centrality,closeness_centrality,eigenvector_centrality,handling_capacity_index,importance_index,redundancy_index
port_1,port_1,port,Bin Qasim Port,67.318694,24.804379,1,0.0,7.995e-05,0.09696989,0.0,5,3.4,1
port_3,port_3,port,Karachi,66.982213,24.827928,1,0.0,7.995e-05,0.09901766,0.0,5,3.4,1
dryport_1,dryport_1,dryport,Faisalabad,73.13824,31.489783,2,7.996e-05,0.0001599,0.12687931,2.51e-06,4,2.98,2
dryport_2,dryport_2,dryport,Gilgit,74.824888,36.692237,1,0.0,7.995e-05,0.06969537,0.0,3,2.5,1
dryport_3,dryport_3,dryport,Islamabad,73.049676,33.664477,2,0.00031982,0.0001599,0.13060082,5e-08,4,2.98,2
dryport_4,dryport_4,dryport,Karachi,66.995838,24.847253,2,0.00147341,0.0001599,0.09920992,2e-08,4,2.98,2
dryport_5,dryport_5,dryport,Lahore,74.372202,31.555887,1,0.0,7.995e-05,0.16744109,0.0,4,2.8,1
dryport_6,dryport_6,dryport,Peshawar,71.551068,34.001665,2,0.02684944,0.0001599,0.14797066,6.162e-05,3,2.68,2
dryport_7,dryport_7,dryport,Raiwind,74.15926,31.210817,2,0.0007196,0.0001599,0.11668314,6.6e-07,3,2.68,2
dryport_8,dryport_8,dryport,Sialkot,74.374643,32.477723,2,0.02634581,0.0001599,0.15810855,8.3e-07,4,2.98,2
dryport_9,dryport_9,dryport,Multan,71.353849,30.091404,1,0.0,7.995e-05,0.15975232,0.0,3,2.5,1
station_1,station_1,rail_station,Bahawalpur Railway Station,71.652555,29.404032,3,7.996e-05,0.00023985,0.10435824,0.00084359,2,2.56,3
station_3,station_3,rail_station,Karachi Cantt,67.041151,24.8438,2,0.00131414,0.0001599,0.09849657,0.02563309,3,2.68,2
station_4,station_4,rail_station,Chaman,66.440542,30.92497,2,7.996e-05,0.0001599,0.05799603,0.0019068,2,2.38,2
station_5,station_5,rail_station,Dera Gazi Khan Railway Station,70.623035,30.050761,1,0.0,7.995e-05,0.16048424,0.0,2,2.2,1
