city,lat,lon
Abbaspur,33.84343396,73.97914732
Abbottabad,34.16486523,73.31545675
Adenzai,34.74036487,72.03641314
Ahmadpur East,29.28073959,71.16242613
Ahmadpur Sial,30.80835704,71.87377024
Ali Abad,36.37956161,74.6817464
Alipur,29.27820558,70.75694024
Allai,34.81135905,73.20084836
Alpuri,34.9548394,72.69475665
Ambar,34.5909796,71.46659419
Arif Wala,30.22426653,73.08273473
Astore,35.54845198,74.77349355
Athara Hazari,31.19686362,72.00538171
Athmuqam,34.65357872,73.80255372
Attock,33.7404995,72.29409875
Awaran,26.34404505,64.84096935
Babuzai,34.71946132,72.41882648
Badin,24.48766082,68.90285553
Baffa Pakhal,34.55577961,73.25360868
Bagh,33.98517585,73.85907264
Bahawalnagar,29.79906503,73.19694888
Bahawalpur,29.33473712,71.57277017
Bahrain,35.27299556,72.52524183
Baizai,34.53832783,71.10362522
Baka Khel,32.86789696,70.46706759
Bala Kot,34.75263264,73.53946411
Balambat,34.8927893,71.86590045
Balanari,29.27763653,67.84053953
Baldia Town,24.92214,66.95494657
Baluch,33.66861879,73.84783082
Banda Daud Shah,33.26349,71.10498425
Bankad,35.11858126,72.85175687
Bannu,32.92467555,70.68168247
Baqrani,27.41558352,68.15668229
Bar Chamarkand,34.72926733,71.19910072
Bara,33.86095748,70.97196124
Barang,34.61451531,71.60569961
Barawal,35.12712542,71.70864645
Barikot,34.67749375,72.20671348
Barkhan,29.98520647,69.63058913
Barnala,32.9054593,74.27445916
Barshore,31.00282138,67.43486696
Basima,27.98409463,65.73830464
Bat Khela,34.5578804,71.93927118
Batagram,34.68143107,73.03246093
Battera Kolai,34.99204453,72.96794375
Bela,26.24877342,66.38964499
Bettani,32.65226973,70.3728002
Bhag,28.87688897,67.84540472
Bhakkar,31.56908715,71.14518101
Bhalwal,32.27596931,72.92859778
Bhawana,31.53211744,72.67798888
Bhera,32.41209244,72.76429876
Bhimber,33.04092458,73.96696686
Bhiria,26.89085871,68.20184899
Bin Qasim Town,24.8783132,67.39256944
Birmal,32.40493432,69.38523
Bisham,34.87309498,72.85566203
Buleda,26.41358943,63.07679624
Bulri Shah Karim,24.98797946,68.37942459
Burewala,30.1311815,72.75898407
Central Kurram,33.6973137,70.49170439
Central Orakzai,33.68833406,70.96504337
Chachro,25.10155379,70.39394715
Chagai,29.33041012,64.78278677
Chak Jhumra,31.64628986,73.23201384
Chakisar,34.78913785,72.77731929
Chakwal,32.99233378,72.85707414
Chaman,30.85581564,66.52685195
Chamber,25.31735537,68.82757487
Charbagh,34.84273252,72.51258464
Charhoi,33.35044465,73.91685822
Charsadda,34.16488465,71.80173095
Chattar,28.8161974,68.3202677
Chichawatni,30.42937472,72.68694125
Chikar,34.1346823,73.68405714
Chilas,35.37959086,74.21341466
Chiniot,31.7007076,72.99648946
Chishtian,29.64077626,72.8659653
Chitral,35.76077229,71.72228169
Choa Saidan Shah,32.73259111,72.99841284
Choubara,30.91084192,71.53993961
Chunian,30.88227917,74.05777354
D. I. Khan,31.96766913,70.79320716
D.G Khan (Tribal Area),30.46639878,70.2973353
Dadu,26.79866641,67.77784032
Dadyal,33.35038118,73.6742283
Daggar,34.55982689,72.3819043
Daghoni,35.32462868,76.12725405
Daharki,27.79189603,69.84185342
Dahli,25.44685726,70.45191999
Dalbandin,28.89895465,64.32105505
Daraban,31.64359788,70.44497205
Darazinda,31.53273392,70.13458833
Darband,34.36885281,72.86959213
Darel,35.69912193,73.82870134
Dargai,34.446365,71.85837116
Darra Adam Khel,33.65275416,71.62073439
