edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
access_1,access_1,port_1,road_774,intermodal,road_access,0.1025,30.0,0.003417,2,7.956082425013923e-05,Bin Qasim Port→road
access_2,access_2,port_2,road_10698,intermodal,road_access,0.2752,30.0,0.009173,2,0.0002386824727504177,Gwadar→road
bridge_16,bridge_16,port_2,road_16505,intermodal,bridge_access,0.5848,30.0,0.019493,2,0.0003182432970005569,Gwadar→main
access_3,access_3,port_3,road_11520,intermodal,road_access,0.1358,30.0,0.004527,2,7.956082425013923e-05,Karachi→road
access_4,access_4,dryport_1,road_19233,intermodal,road_access,0.439,30.0,0.014633,2,7.956082425013923e-05,Faisalabad Dryport→road
access_13,access_13,dryport_1,rail_int_37,intermodal,rail_access,0.4031,30.0,0.013437,2,0.00015912164850027846,Faisalabad Dryport→rail
access_5,access_5,dryport_2,road_983,intermodal,road_access,0.474,30.0,0.0158,2,7.956082425013923e-05,Gilgit Dryport→road
access_6,access_6,dryport_3,road_2854,intermodal,road_access,0.0747,30.0,0.00249,2,0.0003182432970005569,Islamabad Dryport→road
access_14,access_14,dryport_3,rail_int_54,intermodal,rail_access,0.0067,30.0,0.000223,2,0.0003978041212506962,Islamabad Dryport→rail
access_7,access_7,dryport_4,road_848,intermodal,road_access,0.1033,30.0,0.003443,2,0.001352534012252367,Karachi Dryport→road
access_15,access_15,dryport_4,rail_int_52,intermodal,rail_access,0.1115,30.0,0.003717,2,0.0012729731880022277,Karachi Dryport→rail
access_8,access_8,dryport_5,road_137,intermodal,road_access,0.4558,30.0,0.015193,2,7.956082425013923e-05,Lahore Dryport→road
access_9,access_9,dryport_6,road_8555,intermodal,road_access,0.0629,30.0,0.002097,2,0.0003978041212506962,Peshawar Dryport→road
access_16,access_16,dryport_6,rail_int_6,intermodal,rail_access,0.0467,30.0,0.001557,2,0.0003182432970005569,Rawalpindi Dryport→rail
access_10,access_10,dryport_7,road_4454,intermodal,road_access,0.2873,30.0,0.009577,2,0.0007160474182512531,Raiwind Dryport→road
access_17,access_17,dryport_7,rail_int_48,intermodal,rail_access,0.2015,30.0,0.006717,2,0.00015912164850027846,Raiwind Dryport→rail
bridge_6,bridge_6,dryport_7,road_5039,intermodal,bridge_access,6.3896,30.0,0.212987,2,0.0029510700930861647,Raiwind→main
access_11,access_11,dryport_8,road_4170,intermodal,road_access,0.051,30.0,0.0017,2,0.0003978041212506962,Sialkot Dryport→road
access_18,access_18,dryport_8,rail_int_30,intermodal,rail_access,0.0868,30.0,0.002893,2,0.0003182432970005569,Sialkot Dryport→rail
access_12,access_12,dryport_9,road_2337,intermodal,road_access,0.1196,30.0,0.003987,2,7.956082425013923e-05,Multan Dryport→road
access_19,access_19,station_1,rail_int_47,intermodal,station_rail,0.0039,30.0,0.00013,2,7.956082425013923e-05,Bahawalpur Railway Station→rail
access_20,access_20,station_2,rail_int_52,intermodal,station_rail,0.4676,30.0,0.015587,2,7.956082425013923e-05,Bin Qasim Railway Station→rail
rail_1,rail_1,station_3,station_15,rail,ML1,165.5594,80.0,2.069492,5,0.0008751690667515316,ML1
rail_35,rail_35,station_3,rail_int_52,rail,ML1,5.5704,80.0,0.06963,5,0.0,ML1
access_21,access_21,station_3,rail_int_52,intermodal,station_rail,0.0153,30.0,0.00051,2,0.0009547298910016709,Karachi Cantt→rail
access_22,access_22,station_4,rail_int_20,intermodal,station_rail,0.0138,30.0,0.00046,2,7.956082425013923e-05,Chaman→rail
access_23,access_23,station_5,rail_int_13,intermodal,station_rail,0.023,30.0,0.000767,2,7.956082425013923e-05,Dera Gazi Khan Railway Station→rail
access_24,access_24,station_6,rail_int_37,intermodal,station_rail,0.0013,30.0,4.3e-05,2,7.956082425013923e-05,Faislabad Railway Station→rail
access_25,access_25,station_7,rail_int_30,intermodal,station_rail,0.0078,30.0,0.00026,2,7.956082425013923e-05,Gujranwala Railway Station→rail
access_26,access_26,station_8,rail_int_21,intermodal,station_rail,0.0127,30.0,0.000423,2,7.956082425013923e-05,Hyderabad Railway Station→rail
access_27,access_27,station_9,rail_int_54,intermodal,station_rail,0.0025,30.0,8.3e-05,2,7.956082425013923e-05,Islamabad Railway Station→rail
access_28,access_28,station_10,rail_int_12,intermodal,station_rail,0.0234,30.0,0.00078,2,7.956082425013923e-05,Jacobabad→rail
access_29,access_29,station_11,rail_int_52,intermodal,station_rail,0.043,30.0,0.001433,2,7.956082425013923e-05,Karachi City→rail
rail_7,rail_7,station_12,rail_int_7,rail,ML1,89.693,80.0,1.121163,5,7.956082425013923e-05,ML1
access_30,access_30,station_12,rail_int_26,intermodal,station_rail,0.0157,30.0,0.000523,2,0.00015912164850027846,Khanewal Railway Station→rail
access_31,access_31,station_13,rail_int_47,intermodal,station_rail,0.0075,30.0,0.00025,2,7.956082425013923e-05,Khanpur Railway Station→rail
access_32,access_32,station_14,rail_int_16,intermodal,station_rail,0.0046,30.0,0.000153,2,7.956082425013923e-05,Taftan→rail
rail_2,rail_2,station_15,rail_int_1,rail,ML1,60.4473,80.0,0.755591,5,0.0005569257697509747,ML1
access_33,access_33,station_15,rail_int_8,intermodal,station_rail,0.0127,30.0,0.000423,2,0.0002386824727504177,Kotri Railway Station→rail
access_34,access_34,station_16,rail_int_28,intermodal,station_rail,0.043,30.0,0.001433,2,7.956082425013923e-05,Lahore→rail
access_35,access_35,station_17,rail_int_10,intermodal,station_rail,0.0051,30.0,0.00017,2,7.956082425013923e-05,Larkana Railway Station→rail
access_36,access_36,station_18,rail_int_1,intermodal,station_rail,0.0221,30.0,0.000737,2,7.956082425013923e-05,Mirpur Khas Railway Station→rail
access_37,access_37,station_19,rail_int_25,intermodal,station_rail,0.0053,30.0,0.000177,2,0.0003978041212506962,Multan Railway Station→rail
bridge_2,bridge_2,station_19,road_9797,intermodal,bridge_access,0.3712,30.0,0.012373,2,0.0004773649455008354,Multan Railway Station→main
