source,source_name,source_type,target,target_name,target_type,travel_time_hr,distance_km,num_hops,modes_used
port_1,Bin Qasim Port,port,port_2,Gwadar,port,6.7567,667.8746,238,intermodal+road
port_1,Bin Qasim Port,port,port_3,Karachi,port,0.4514,42.686,70,intermodal+road
port_1,Bin Qasim Port,port,dryport_1,Faisalabad,dryport,10.8805,1158.3483,440,intermodal+road
port_1,Bin Qasim Port,port,dryport_2,Gilgit,dryport,22.4073,2264.993,842,intermodal+road
port_1,Bin Qasim Port,port,dryport_3,Islamabad,dryport,13.3559,1451.9366,554,intermodal+road
port_1,Bin Qasim Port,port,dryport_4,Karachi,dryport,0.4283,40.6224,67,intermodal+road
port_1,Bin Qasim Port,port,dryport_5,Lahore,dryport,11.5632,1256.5967,512,intermodal+road
port_1,Bin Qasim Port,port,dryport_6,Peshawar,dryport,13.5474,1370.2679,554,intermodal+road
port_1,Bin Qasim Port,port,dryport_7,Raiwind,dryport,12.3081,1308.8091,537,intermodal+road
port_1,Bin Qasim Port,port,dryport_8,Sialkot,dryport,12.4513,1331.5722,483,intermodal+road
port_1,Bin Qasim Port,port,dryport_9,Multan,dryport,9.1505,915.9869,335,intermodal+road
port_1,Bin Qasim Port,port,station_1,Bahawalpur Railway Station,rail_station,8.3089,846.7693,291,intermodal+road
port_1,Bin Qasim Port,port,station_2,Bin Qasim Railway Station,rail_station,0.4476,41.2015,69,intermodal+road
port_1,Bin Qasim Port,port,station_3,Karachi Cantt,rail_station,0.4325,40.7492,69,intermodal+rail+road
port_1,Bin Qasim Port,port,station_4,Chaman,rail_station,8.5121,848.6748,322,intermodal+road
port_1,Bin Qasim Port,port,station_5,Dera Gazi Khan Railway Station,rail_station,10.2409,1002.3941,347,intermodal+rail+road
port_1,Bin Qasim Port,port,station_6,Faislabad Railway Station,rail_station,10.8671,1157.9465,440,intermodal+road
port_1,Bin Qasim Port,port,station_7,Gujranwala Railway Station,rail_station,12.4544,1331.6668,485,intermodal+road
port_1,Bin Qasim Port,port,station_8,Hyderabad Railway Station,rail_station,1.6836,175.8884,98,intermodal+road
port_1,Bin Qasim Port,port,station_9,Islamabad Railway Station,rail_station,13.3558,1451.9324,554,intermodal+road
port_1,Bin Qasim Port,port,station_10,Jacobabad,rail_station,15.6069,1431.6808,348,intermodal+rail+road
port_1,Bin Qasim Port,port,station_11,Karachi City,rail_station,0.4334,40.7769,69,intermodal+road
port_1,Bin Qasim Port,port,station_12,Khanewal Railway Station,rail_station,16.7922,1599.6534,452,intermodal+rail+road
port_1,Bin Qasim Port,port,station_13,Khanpur Railway Station,rail_station,8.309,846.7729,291,intermodal+road
