node_id,asset_id,node_type,name,lon,lat,rail_intersection,degree,betweenness_centrality,degree_centrality,closeness_centrality,eigenvector_centrality,handling_capacity_index,importance_index,redundancy_index
port_1,port_1,port,Bin Qasim Port,67.318694,24.804379,0,1,0.0,7.956082425013923e-05,0.09697897201868826,5.120895915034056e-13,5,5,3
port_2,port_2,port,Gwadar,62.337525,25.108547,0,2,0.0002387014640356461,0.00015912164850027846,0.06277111476347591,6.415798531431328e-13,3,4,2
port_3,port_3,port,Karachi,66.982213,24.827928,0,1,0.0,7.956082425013923e-05,0.09902593205124043,5.102393380989299e-13,5,5,3
dryport_1,dryport_1,dryport,Faisalabad,73.13824,31.489783,0,2,7.95671546785487e-05,0.00015912164850027846,0.1730351814710804,4.107447689490589e-12,4,4,3
dryport_2,dryport_2,dryport,Gilgit,74.824888,36.692237,0,1,0.0,7.956082425013923e-05,0.06956044467668654,5.934066915656926e-13,3,3,2
dryport_3,dryport_3,dryport,Islamabad,73.049676,33.664477,0,2,0.0003182686187141948,0.00015912164850027846,0.15254443723224173,5.01776500887095e-13,4,4,3
dryport_4,dryport_4,dryport,Karachi,66.995838,24.847253,0,2,0.0012730744748567792,0.00015912164850027846,0.09921800410508104,5.50897067880786e-13,4,4,3
dryport_5,dryport_5,dryport,Lahore,74.372202,31.555887,0,1,0.0,7.956082425013923e-05,0.16674025470349782,5.694846058910219e-13,4,4,3
dryport_6,dryport_6,dryport,Peshawar,71.551068,34.001665,0,2,0.0003182686187141948,0.00015912164850027846,0.14563523393428848,7.10941550418572e-05,3,3,2
dryport_7,dryport_7,dryport,Raiwind,74.15926,31.210817,0,3,0.0008752387014640356,0.00023868247275041769,0.14877597468603665,3.821129403761649e-12,3,3,2
dryport_8,dryport_8,dryport,Sialkot,74.374643,32.477723,0,2,0.0003182686187141948,0.00015912164850027846,0.1527714434270982,8.235930844835166e-11,4,4,3
dryport_9,dryport_9,dryport,Multan,71.353849,30.091404,0,1,0.0,7.956082425013923e-05,0.15982722421572698,5.54861038356091e-13,3,3,2
station_1,station_1,rail_station,Bahawalpur Railway Station,71.652555,29.404032,0,1,0.0,7.956082425013923e-05,0.14845335781608016,1.6451324182801565e-11,2,2,2
station_2,station_2,rail_station,Bin Qasim Railway Station,67.396434,24.84918,0,1,0.0,7.956082425013923e-05,0.09902843676879837,6.799605684767161e-13,2,2,2
station_3,station_3,rail_station,Karachi Cantt,67.041151,24.8438,0,3,0.0008752387014640357,0.00023868247275041769,0.09917650941504058,7.103698217573971e-08,2,2,2
station_4,station_4,rail_station,Chaman,66.440542,30.92497,0,1,0.0,7.956082425013923e-05,0.08515053107096812,1.4381643621365703e-12,2,2,2
station_5,station_5,rail_station,Dera Gazi Khan Railway Station,70.623035,30.050761,0,1,0.0,7.956082425013923e-05,0.13602392346031214,9.058347209377405e-09,2,2,2
station_6,station_6,rail_station,Faislabad Railway Station,73.096878,31.417297,0,1,0.0,7.956082425013923e-05,0.17343704879006894,4.980222635476307e-13,2,2,2
station_7,station_7,rail_station,Gujranwala Railway Station,74.187492,32.176688,0,1,0.0,7.956082425013923e-05,0.1526979286802055,7.842166780013996e-12,2,2,2
station_8,station_8,rail_station,Hyderabad Railway Station,68.373782,25.380706,0,1,0.0,7.956082425013923e-05,0.10868081114179283,1.0484458074802236e-12,2,2,2
station_9,station_9,rail_station,Islamabad Railway Station,73.047399,33.663389,0,1,0.0,7.956082425013923e-05,0.15254769151238506,4.876583185022073e-13,2,2,2
station_10,station_10,rail_station,Jacobabad,68.432551,28.27616,0,1,0.0,7.956082425013923e-05,0.07863824247758075,9.057336924527726e-09,2,2,2
station_11,station_11,rail_station,Karachi City,67.013143,24.849408,0,1,0.0,7.956082425013923e-05,0.09916742357993046,5.044512191119182e-13,2,2,2
station_12,station_12,rail_station,Khanewal Railway Station,71.92979,30.309881,0,2,7.95671546785487e-05,0.00015912164850027846,0.08231618013202903,1.3406513084674099e-09,2,2,2
station_13,station_13,rail_station,Khanpur Railway Station,70.64947,28.639945,0,1,0.0,7.956082425013923e-05,0.1484507134656575,3.118791692586108e-11,2,2,2
station_14,station_14,rail_station,Taftan,61.55691,28.972532,0,1,0.0,7.956082425013923e-05,0.04861067803852203,7.1610546593991834e-09,2,2,2
station_15,station_15,rail_station,Kotri Railway Station,68.298001,25.367324,0,3,0.000795671546785487,0.00023868247275041769,0.08231084628630486,8.079274752676752e-08,2,2,2
station_16,station_16,rail_station,Lahore,74.336773,31.577507,0,1,0.0,7.956082425013923e-05,0.11030649333289234,1.334453538780608e-10,2,2,2
station_17,station_17,rail_station,Larkana Railway Station,68.209908,27.549421,0,1,0.0,7.956082425013923e-05,0.08323166820308173,3.039809008636901e-11,2,2,2
station_18,station_18,rail_station,Mirpur Khas Railway Station,69.017981,25.525213,0,1,0.0,7.956082425013923e-05,0.07749166542338336,1.578896520937243e-11,2,2,2
station_19,station_19,rail_station,Multan Railway Station,71.445043,30.180522,0,2,0.0003978357733927435,0.00015912164850027846,0.15474394944695635,3.41006756320501e-10,2,2,2
station_20,station_20,rail_station,NawabShah Railway Station,68.411657,26.245793,0,1,0.0,7.956082425013923e-05,0.0759662079044864,1.6811651556245148e-10,2,2,2
station_21,station_21,rail_station,Railway Yard Karachi,67.025799,24.8395,0,1,0.0,7.956082425013923e-05,0.09907219018744533,6.246566474531893e-13,2,2,2
station_22,station_22,rail_station,Peshawar Railway Station,71.550487,34.002252,0,1,0.0,7.956082425013923e-05,0.1455715689086255,6.607144539766902e-05,2,2,2
station_23,station_23,rail_station,Quetta,67.000724,30.19163,0,1,0.0,7.956082425013923e-05,0.09188297723265326,3.808473805137147e-11,2,2,2
station_24,station_24,rail_station,Rawalpindi Railway Station,73.047112,33.604497,0,1,0.0,7.956082425013923e-05,0.14929538018449173,4.87810916684547e-13,2,2,2
station_25,station_25,rail_station,Sahiwal Railway Station,73.101281,30.654424,0,2,0.002713399108847868,0.00015912164850027846,0.16500813533410513,6.235778186466632e-11,2,2,2
station_26,station_26,rail_station,Sargodha Railway Station,72.674636,32.083647,0,1,0.0,7.956082425013923e-05,0.17338169339465226,1.499558360350511e-11,2,2,2
station_27,station_27,rail_station,Sialkot,74.540937,32.498346,0,1,0.0,7.956082425013923e-05,0.15269739244163505,8.49284427584907e-12,2,2,2
station_28,station_28,rail_station,Sibi Junction Railway Station,67.869743,29.547571,0,2,0.0003978357733927435,0.00015912164850027846,0.1063561020577116,6.00169701225774e-11,2,2,2
station_29,station_29,rail_station,Sukkur Railway Station,68.86628,27.700789,0,1,0.0,7.956082425013923e-05,0.05919639812155762,3.689217495968589e-09,2,2,2
station_30,station_30,rail_station,ZeroPoint Khokhrapar,70.256652,25.732066,0,2,7.95671546785487e-05,0.00015912164850027846,0.07749483011447772,1.327776502244612e-07,2,2,2
road_1,road_1,road_intersection,Junction_1,72.98463,33.672113,0,2,0.0,0.00015912164850027846,0.15087370868188443,6.22105395089285e-13,1,1,1
road_2,road_2,road_intersection,Junction_2,72.992029,33.67604,0,2,0.0,0.00015912164850027846,0.1511015728052065,5.660873058920702e-13,1,1,1
road_3,road_3,road_intersection,Junction_3,73.087104,33.664896,0,6,0.012299013367281987,0.00047736494550083537,0.15285075284176816,1.502540673333949e-12,1,1,1
road_4,road_4,road_intersection,Junction_4,73.13117,33.606025,0,6,0.010876034373010822,0.00047736494550083537,0.15109446151406472,6.022434959391402e-13,1,1,1
road_5,road_5,road_intersection,Junction_5,73.14062,33.593678,0,2,0.003572883513685551,0.00015912164850027846,0.15073230813500801,5.812250789905604e-13,1,1,1
road_6,road_6,road_intersection,Junction_6,73.086895,33.664267,0,3,0.012100572883513686,0.00023868247275041769,0.15286577556533157,5.134114232276223e-13,1,1,1
road_7,road_7,road_intersection,Junction_7,73.085164,33.663041,0,6,0.0027181731381285806,0.00047736494550083537,0.152910008742204,6.256880844199725e-13,1,1,1
road_8,road_8,road_intersection,Junction_8,73.085463,33.664597,0,1,0.0,7.956082425013923e-05,0.15287102149490733,4.957977129040748e-13,1,1,1
road_9,road_9,road_intersection,Junction_9,73.091278,33.745113,0,4,0.004060630171865054,0.0003182432970005569,0.15130299655248455,1.0296355816466752e-12,1,1,1
road_10,road_10,road_intersection,Junction_10,73.083889,33.74255,0,2,0.00398138128580522,0.00015912164850027846,0.15109127874161332,6.562268709529081e-13,1,1,1
road_11,road_11,road_intersection,Junction_11,73.084773,33.667638,0,2,0.0,0.00015912164850027846,0.15278714288671041,5.391981305972152e-13,1,1,1
road_12,road_12,road_intersection,Junction_12,73.090023,33.66049,0,1,0.0,7.956082425013923e-05,0.15276626808845747,5.169097546625371e-13,1,1,1
road_13,road_13,road_intersection,Junction_13,73.085791,33.662932,0,5,0.002313494589433482,0.00039780412125069614,0.15288647131921435,7.290478914069095e-13,1,1,1
road_14,road_14,road_intersection,Junction_14,73.089785,33.660967,0,2,0.0,0.00015912164850027846,0.15277984977168238,5.46085867836917e-13,1,1,1
road_15,road_15,road_intersection,Junction_15,73.08905,33.666994,0,4,0.0006659770846594526,0.0003182432970005569,0.15278893116749045,6.289971495071548e-13,1,1,1
