asset_id,edge_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,hazard_flood,hazard_cyclone,hazard_strike,hazard_accident,exposure_flood,exposure_cyclone,exposure_strike,exposure_accident,vulnerability_flood,vulnerability_cyclone,vulnerability_strike,vulnerability_accident,risk_flood,risk_cyclone,risk_strike,risk_accident,risk_natural,risk_human,composite_risk,edge_betweenness,importance_score,network_criticality_risk,risk_tier,timestamp,analysis_date
access_1,access_1,port_1,road_774,intermodal,road_access,0.1025,30.0,0.003417,0.5264,0.0,0.0,0.0,0.4212926592,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0776,0.0,0.0,0.0,0.0776,0.0,0.0466,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_2,access_2,port_2,road_10698,intermodal,road_access,0.2752,30.0,0.009173,0.5259,0.0,0.0,0.0,0.421183128576,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0775,0.0,0.0,0.0,0.0775,0.0,0.0465,0.0002386824727504177,0.0008,0.0,LOW,20260427_163314,2026-04-27 16:33:25
bridge_16,bridge_16,port_2,road_16505,intermodal,bridge_access,0.5848,30.0,0.019493,0.5259,0.0,0.0,0.0,0.2530224889344,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0466,0.0,0.0,0.0,0.0466,0.0,0.028,0.0003182432970005569,0.001,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_3,access_3,port_3,road_11520,intermodal,road_access,0.1358,30.0,0.004527,0.5097,0.0,0.0,0.0,0.40798149523200006,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0728,0.0,0.0,0.0,0.0728,0.0,0.0437,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_4,access_4,dryport_1,road_19233,intermodal,road_access,0.439,30.0,0.014633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_13,access_13,dryport_1,rail_int_37,intermodal,rail_access,0.4031,30.0,0.013437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015912164850027846,0.0005,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_5,access_5,dryport_2,road_983,intermodal,road_access,0.474,30.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_6,access_6,dryport_3,road_2854,intermodal,road_access,0.0747,30.0,0.00249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003182432970005569,0.001,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_14,access_14,dryport_3,rail_int_54,intermodal,rail_access,0.0067,30.0,0.000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003978041212506962,0.0013,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_7,access_7,dryport_4,road_848,intermodal,road_access,0.1033,30.0,0.003443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001352534012252367,0.0044,0.0,LOW,20260427_163314,2026-04-27 16:33:25
